COUNTRY/LOCATION,PEOPLE,POUNDS ,KILOGRAMS ,MILES,KILOMETERS,TOTAL  ITEMS COLLECTED,"1
CIGARETTE
BUTTS","2
FOOD WRAPPERS","3
PLASTIC BEVERAGE BOTTLES","4
PLASTIC BOTTLE CAPS","5
PLASTIC GROCERY
BAGS","6
OTHER PLASTIC BAGS","7
STRAWS, STIRRERS ","8
PLASTIC TAKE
OUT/AWAY CONTAINERS","9
PLASTIC
LIDS","10
FOAM TAKE OUT/AWAY
CONTAINERS"
SOUTH KOREA,3912,66432,30133,40,65,74452,9902,6246,4970,3086,6349,5712,2458,763,1106,578
SPAIN,1408,9171,4160,17,27,54865,6572,867,1536,2235,1032,1078,935,470,499,144
SRI LANKA,9067,80379,36459,61,98,392697,15699,12817,106304,15112,31557,20446,6933,3616,4290,5026
ST. KITTS & NEVIS,477,3620,1642,17,27,18136,58,462,4967,2598,413,579,232,156,495,419
ST. LUCIA,254,5265,2388,12,19,23828,558,1123,9550,1891,313,517,322,166,97,294
ST. VINCENT AND THE GRENADINES,1,1,0.5,0.1,0.2,27,,,3,6,,,1,,,
SURINAME,68,1896,860,15,24,14407,5,4,9749,2577,111,16,1,7,,293
SWEDEN,1478,9350,4241,17,27,2096,134,15,26,3,25,2,10,19,5,5
SWITZERLAND,25,88,40,1,2,4406,2649,174,41,56,8,19,14,24,11,5
TAIWAN,19299,102257,46383,14,22,235586,6950,5171,57767,32359,16444,,23133,,,
TANZANIA,497,4436,2012,2,3,42726,141,8515,3601,9132,6375,2912,1587,1,1010,1257
THAILAND,4081,21304,9663,35,57,57474,3572,4252,2685,1216,3388,4040,2367,117,12203,342
THE BAHAMAS,510,3213,1457,17,27,17772,175,512,1320,839,434,492,310,211,297,155
TONGA,7,13,6,0.5,0.8,142,,14,15,8,9,,,5,,
TRINIDAD AND TOBAGO,1900,24946,11315,25,40,126846,937,4913,27320,12554,1783,3451,888,1584,1472,2585
TUNISIA,39,120,54,5,7,391,,,5,3,,,,4,1,2
TURKEY,546,1647,747,1,2,12828,6440,727,593,830,110,108,20,,,
U.S. VIRGIN ISLANDS,74,429,195,2,3,3391,24,253,287,252,73,32,68,42,52,27
UKRAINE,50,5644,2560,3,5,37840,5600,3450,8963,2871,630,70,145,57,220,960
UNITED ARAB EMIRATES,1820,9767,4430,33,53,411555,390637,1164,3638,3499,1055,504,430,618,821,353
UNITED KINGDOM,7196,22314,10121,150,243,163880,11926,15721,4624,12770,2460,1731,418,1982,240,97
UNITED STATES,209643,3743118,1697851,12051,19392,5860996,842837,345241,242534,286678,96815,85070,144464,61827,73305,47259
URUGUAY,1999,7771,3525,46,74,39415,4120,3187,2403,4595,2271,1993,983,1141,3062,667
VANUATU,214,1703,773,25,40,35803,1954,3037,2109,1010,2062,2398,805,737,902,642
VENEZUELA,4521,48777,22125,58,94,276499,14960,10770,27361,13825,10447,10670,9952,4518,21803,3484
VIETNAM,543,16687,7569,5,8,20661,999,1461,1409,1305,1494,831,843,1382,112,635
LOCATION NOT RECORDED,10700,63292,28708,177,285,523481,,,,,,,,,,
GRAND TOTAL,789138,20471242,9285600,18935,30472,20824689,2412151,1739743,1569135,1091107,757523,746211,643562,632874,624878,580570
